Time,PopTotal
1950,7752.118
1951,7839.51
1952,7934.98
1953,8038.596
1954,8150.447
1955,8270.581
1956,8399.03
1957,8535.807
1958,8680.946
1959,8834.445
1960,8996.351
1961,9166.764
1962,9345.868
1963,9533.954
1964,9731.361
1965,9938.414
1966,10152.331
1967,10372.63
1968,10604.346
1969,10854.428
1970,11126.123
1971,11417.825
1972,11721.94
1973,12027.822
1974,12321.541
1975,12590.286
1976,12840.299
1977,13067.538
1978,13237.734
1979,13306.695
1980,13248.37
1981,13053.954
1982,12749.645
1983,12389.269
1984,12047.115
1985,11783.05
1986,11601.041
1987,11502.761
1988,11540.888
1989,11777.609
1990,12249.114
1991,12993.657
1992,13981.231
1993,15095.099
1994,16172.719
1995,17099.541
1996,17822.884
1997,18381.605
1998,18863.999
1999,19403.676
2000,20093.756
2001,20966.463
2002,21979.923
2003,23064.851
2004,24118.979
2005,25070.798
2006,25893.45
2007,26616.792
2008,27294.031
2009,28004.331
2010,28803.167
2011,29708.599
2012,30696.958
2013,31731.688
2014,32758.02
2015,33736.494
2016,34656.032
2017,35530.081
2018,36373.176
